               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.035375,            0.012518,            0.027946,             0.69194,             0.93333,             0.96183,             0.54058,            0.035622,           0.0083398,            0.020256,            0.006568,            0.006568,            0.006568
                 106,            0.034514,            0.012371,            0.024434,              0.6861,             0.98288,             0.97833,             0.57563,            0.030897,           0.0083261,            0.018777,            0.006535,            0.006535,            0.006535
                 107,              0.0346,            0.012053,            0.028237,             0.77443,             0.89659,             0.98389,             0.61573,            0.027609,           0.0081359,             0.01545,            0.006502,            0.006502,            0.006502
                 108,            0.034129,            0.012241,            0.026212,             0.81077,             0.84984,             0.95072,             0.56424,            0.033693,           0.0078369,            0.016881,            0.006469,            0.006469,            0.006469
                 109,            0.034323,            0.012158,            0.024468,             0.76125,             0.88715,             0.93041,             0.57405,            0.033867,           0.0077572,            0.015783,            0.006436,            0.006436,            0.006436
                 110,            0.034718,            0.011909,            0.023955,             0.78922,                   1,               0.995,              0.5711,            0.031086,           0.0074912,            0.014647,            0.006403,            0.006403,            0.006403
                 111,            0.033554,            0.014018,            0.023604,             0.84179,             0.98026,               0.995,              0.6317,            0.029271,           0.0075202,             0.01445,             0.00637,             0.00637,             0.00637
                 112,              0.0342,            0.010991,            0.022488,             0.87131,             0.95609,               0.995,             0.62216,            0.031304,           0.0074896,            0.014564,            0.006337,            0.006337,            0.006337
                 113,            0.035574,            0.012781,            0.023924,             0.78298,              0.9832,               0.995,             0.65512,            0.028995,           0.0075702,            0.015382,            0.006304,            0.006304,            0.006304
                 114,            0.036933,             0.01213,            0.025067,             0.86593,             0.97893,               0.995,              0.6689,            0.028788,           0.0070359,            0.013262,            0.006271,            0.006271,            0.006271
                 115,            0.033758,            0.011072,            0.023974,             0.80327,                   1,               0.995,             0.65634,            0.029338,           0.0071205,            0.014796,            0.006238,            0.006238,            0.006238
                 116,            0.034193,            0.011812,            0.021338,             0.83965,              0.9946,               0.995,             0.62241,            0.029613,            0.007181,            0.013767,            0.006205,            0.006205,            0.006205
                 117,            0.035029,            0.011524,            0.020604,             0.88131,             0.98766,               0.995,             0.65125,            0.028007,           0.0071649,            0.012702,            0.006172,            0.006172,            0.006172
                 118,            0.034565,            0.012558,            0.021625,             0.85479,             0.99926,               0.995,             0.68332,            0.029792,           0.0070827,            0.012459,            0.006139,            0.006139,            0.006139
                 119,            0.032789,            0.011621,            0.023365,             0.88927,                   1,               0.995,             0.67292,            0.025659,           0.0069126,            0.011895,            0.006106,            0.006106,            0.006106
                 120,            0.034758,            0.011934,            0.022421,             0.83645,                   1,               0.995,             0.65038,            0.025247,           0.0066523,            0.011418,            0.006073,            0.006073,            0.006073
                 121,            0.033197,            0.012669,            0.021292,             0.88632,             0.98399,               0.995,             0.66205,            0.026882,           0.0066789,            0.010549,             0.00604,             0.00604,             0.00604
                 122,            0.033039,            0.012031,            0.021258,               0.857,             0.99283,               0.995,             0.60113,            0.029316,           0.0069102,            0.010808,            0.006007,            0.006007,            0.006007
                 123,            0.034609,            0.012084,             0.02019,             0.85164,             0.99024,               0.995,             0.58739,            0.030964,           0.0069005,            0.010453,            0.005974,            0.005974,            0.005974
                 124,            0.035421,            0.012211,            0.021063,             0.88173,             0.99054,               0.995,             0.61775,             0.02841,           0.0069336,             0.01021,            0.005941,            0.005941,            0.005941
                 125,            0.034412,            0.012989,            0.020359,             0.84786,             0.94965,             0.97833,             0.62291,            0.029463,           0.0081327,             0.01255,            0.005908,            0.005908,            0.005908
                 126,            0.034923,            0.012745,            0.020717,             0.90868,             0.97426,               0.995,             0.66157,            0.029186,           0.0073236,            0.011079,            0.005875,            0.005875,            0.005875
                 127,            0.033391,            0.011586,            0.019139,              0.8682,                   1,               0.995,             0.69678,            0.027142,           0.0070424,           0.0097568,            0.005842,            0.005842,            0.005842
                 128,            0.035422,             0.01257,            0.021136,             0.84388,                   1,               0.995,             0.65459,            0.028792,           0.0071818,           0.0098977,            0.005809,            0.005809,            0.005809
                 129,            0.034874,            0.012472,            0.020539,              0.8683,                   1,               0.995,             0.67157,             0.02745,           0.0071036,            0.010019,            0.005776,            0.005776,            0.005776
                 130,            0.031472,            0.012352,            0.019212,             0.85943,             0.99492,               0.995,             0.71677,            0.026391,           0.0074453,            0.011051,            0.005743,            0.005743,            0.005743
                 131,            0.032256,            0.011758,            0.018461,             0.90597,             0.99595,               0.995,             0.70054,            0.027562,           0.0067273,           0.0094986,             0.00571,             0.00571,             0.00571
                 132,             0.03251,            0.012846,            0.020692,             0.88615,             0.98954,               0.995,             0.69697,            0.027015,           0.0068071,           0.0095787,            0.005677,            0.005677,            0.005677
                 133,            0.031638,            0.011673,            0.017432,             0.89491,             0.98917,               0.995,             0.72481,            0.024508,           0.0069513,           0.0088463,            0.005644,            0.005644,            0.005644
                 134,            0.032296,            0.011461,            0.016598,             0.92083,              0.9286,               0.995,             0.65778,            0.027834,           0.0070907,           0.0092432,            0.005611,            0.005611,            0.005611
                 135,            0.032021,            0.011648,            0.016679,             0.85661,             0.99558,               0.995,             0.69303,              0.0262,           0.0068433,           0.0091324,            0.005578,            0.005578,            0.005578
                 136,            0.033607,            0.011835,             0.01738,              0.6077,             0.96083,             0.93511,             0.51493,            0.035554,           0.0090417,            0.016045,            0.005545,            0.005545,            0.005545
                 137,            0.031682,            0.011482,             0.01562,             0.81539,             0.86704,             0.96643,             0.57459,            0.035237,           0.0099749,            0.013254,            0.005512,            0.005512,            0.005512
                 138,            0.032009,            0.011175,             0.01685,             0.82741,                   1,               0.995,             0.67266,            0.026607,           0.0080779,           0.0075095,            0.005479,            0.005479,            0.005479
                 139,            0.032043,            0.011076,             0.01636,             0.91325,                   1,               0.995,             0.72144,            0.026477,           0.0072116,           0.0074744,            0.005446,            0.005446,            0.005446
                 140,            0.031574,            0.011078,            0.014974,             0.84589,             0.97097,               0.995,                0.71,            0.028525,           0.0070827,           0.0083814,            0.005413,            0.005413,            0.005413
                 141,            0.031624,            0.011735,            0.017464,             0.81688,                 0.9,             0.95611,             0.57126,            0.032244,           0.0077805,            0.013872,             0.00538,             0.00538,             0.00538
                 142,            0.031525,            0.010853,            0.015185,             0.94482,             0.29723,             0.39496,             0.13642,            0.058895,            0.015224,            0.038172,            0.005347,            0.005347,            0.005347
                 143,             0.03129,            0.011125,            0.015256,             0.79712,             0.64536,             0.72456,             0.32113,            0.044861,            0.011367,            0.022139,            0.005314,            0.005314,            0.005314
                 144,            0.032894,            0.012402,            0.017212,             0.72409,             0.84283,             0.93389,             0.52283,            0.034643,           0.0086468,            0.013544,            0.005281,            0.005281,            0.005281
